Pret,Versiune,Vechime,Km,Putere,Capacitate cilindrica,Marca,Model,Combustibil,Transmisie,Norma de poluare,Cutie de viteze,Tip Caroserie,Optiuni culoare,Tara de origine,Stare
9688,V Blue dCi Life,4.0,102700,85,1461,Renault,Clio,Diesel,Fata,Euro 6d-Temp,Manuala,Masina de oras,Metalizata,Romania,Second hand
22490,2.5 4x4 Hybrid Edition,6.0,169800,155,2494,Toyota,RAV4,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
18900,xDrive30d,10.0,378000,258,2993,BMW,X5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
14700,John Cooper Works All4 Aut.,11.0,167000,218,1598,Mini,Paceman,Benzina,4x4 (manual),Euro 5,Automata,Coupe,Metalizata,Franta,Second hand
6090,2.0 TDI DPF FR,14.0,258424,170,1968,Seat,Leon,Diesel,Fata,Euro 5,Manuala,Compacta,Metalizata,Franta,Second hand
9950,sDrive18d,11.0,199014,143,1995,BMW,X1,Diesel,Spate,Euro 5,Manuala,SUV,Metalizata,Germania,Second hand
8850,IV 1.2 TCe EDC Intens,10.0,162000,120,1197,Renault,Clio,Benzina,Fata,Euro 5,Automata,Masina de oras,Metalizata,Germania,Second hand
34053,D4 AWD Momentum,5.0,112000,190,1969,Volvo,XC 60,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Germania,Second hand
48199,3.0 V6 TDI 4Motion DPF Automatik Atmosphere,5.0,85300,286,2967,Volkswagen,Touareg,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
14490,1.5D 114CP 2WD Tekna,5.0,170000,114,1461,Nissan,Qashqai,Diesel,Fata,Euro 6d-Temp,Manuala,SUV,Perlat,Romania,Second hand
16400,2.3 dCi Double Cab Visia,5.0,153200,163,2298,Nissan,Navara,Diesel,4x4 (manual),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
5400,1.4 TSI DSG Trendline,14.0,168552,140,1390,Volkswagen,Touran,Benzina,Fata,Euro 5,Automata,Monovolum,Metalizata,Germania,Second hand
13999,3.0 TDI Quattro Stronic,9.0,264900,245,2967,Audi,A4,Diesel,4x4 (automat),Euro 5,Automata,Sedan,Metalizata,Romania,Second hand
8865,IV dCi Energy Life,5.0,70000,90,1461,Renault,Clio,Diesel,Fata,Euro 6,Manuala,Masina mica,Mat,Romania,Second hand
22800,200 d Aut.,7.0,188300,150,1950,Mercedes-Benz,E,Diesel,Spate,Euro 6,Automata,Sedan,Metalizata,Belgia,Second hand
28548,320i AT,5.0,142800,184,1998,BMW,Seria 3,Benzina,Spate,Euro 6,Automata,Sedan,Metalizata,Olanda,Second hand
22100,2.0 EcoBlue A8 AWD Titanium,3.0,78300,150,1996,Ford,Kuga,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
78580,60 TFSI e quattro tiptronic,3.0,23000,340,2995,Audi,A8,Hibrid,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
50190,300 e 4Matic 9G-TRONIC Exclusive,4.0,90000,211,1991,Mercedes-Benz,GLC,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
14090,Energy dCi 160 EDC Intens,6.0,165000,160,1598,Renault,Espace,Diesel,Fata,Euro 6,Automata,Monovolum,Metalizata,Franta,Second hand
20690,xDrive20d,10.0,150700,190,1995,BMW,X4,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Belgia,Second hand
19199,1.0 EcoBoost ST-Line,5.0,27346,125,999,Ford,Focus,Benzina,Fata,Euro 6,Manuala,Compacta,Metalizata,Romania,Second hand
9988,0.9 TCe Prestige,4.0,71644,90,898,Dacia,Logan,Benzina,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
4000,320d,18.0,299000,163,1995,BMW,Seria 3,Diesel,Spate,Euro 4,Manuala,Sedan,Metalizata,Germania,Second hand
7000,1.9 TDI Life (5-Si.),15.0,256000,105,1896,Volkswagen,Caddy,Diesel,Fata,Euro 4,Manuala,Monovolum,Metalizata,Germania,Second hand
107890,Standard,,190,340,2995,Porsche,Cayenne Coupe,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Nou
26168,2.0 TDI DPF DSG 4Mot Comfortline,5.0,148754,150,1968,Volkswagen,Tiguan,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
56000,400 d 4MATIC Aut,5.0,72000,340,2925,Mercedes-Benz,S,Diesel,4x4 (automat),Euro 5,Automata,Sedan,Metalizata,Romania,Second hand
26200,Sportback 2.0 TDI ultra S tronic,5.0,165000,190,1968,Audi,A5,Diesel,Fata,Euro 6,Automata,Sedan,Perlat,Germania,Second hand
19290,2.4 4WD Plug-In Hybrid,5.0,134000,135,2360,Mitsubishi,Outlander,Hibrid,4x4 (manual),Euro 6b,Automata,SUV,Metalizata,Franta,Second hand
47899,300 4MATIC,5.0,39740,245,1991,Mercedes-Benz,GLC,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
11395,ENERGY TCe EDC Intens,8.0,110000,120,1197,Renault,Captur,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
21000,1.8 HSD 122 CP 4x2 CVT C-ult Style bi-tone,3.0,90000,98,1798,Toyota,C-HR,Hibrid,Fata,Euro 6,Automata,SUV,Metalizata,Romania,Second hand
12090,1.5 dCI Expression,5.0,159346,90,1461,Renault,Kangoo,Diesel,Fata,Euro 6,Manuala,Monovolum,Metalizata,Romania,Second hand
5750,1.25 Trend,14.0,178000,82,1242,Ford,Fiesta,Benzina,Fata,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
12990,1.6 DCi N-Connecta,10.0,215000,130,1598,Nissan,Qashqai,Diesel,Fata,Euro 5,Manuala,SUV,Metalizata,Franta,Second hand
11450,200 T (BlueEFFICIENCY) Avantgarde,13.0,165000,184,1796,Mercedes-Benz,C,Benzina,Spate,Euro 5,Manuala,Sedan,Perlat,Germania,Second hand
91601,R-Dynamic 2.0 P250 SE,1.0,1,250,1997,Land Rover,Range Rover Velar,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Regatul Unit,Nou
13499,xDrive30d M Sport Edition,13.0,280000,245,2993,BMW,X5,Diesel,4x4 (automat),Euro 5b,Automata,SUV,Metalizata,Germania,Second hand
28450,2.0 Panther A8 AWD Titanium,5.0,59107,238,1996,Ford,Edge,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
13990,1.6 TDI Comfortline,5.0,76058,115,1598,Volkswagen,Golf,Diesel,Fata,Euro 6,Manuala,Compacta,Metalizata,Romania,Second hand
18550,1.5 dCi DCT ACENTA,5.0,116269,115,1461,Nissan,Qashqai,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Germania,Second hand
24499,200 d 9G-TRONIC Avantgarde,7.0,246000,150,1950,Mercedes-Benz,E,Diesel,Spate,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
3500,1.6D DPF,16.0,254000,109,1560,Volvo,V50,Diesel,Fata,Euro 5,Manuala,Combi,Metalizata,Belgia,Second hand
82110,xDrive40i,4.0,51800,340,2998,BMW,X7,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
37464,2.0 Hybrid i-MMD 4WD E-CVT Executive,2.0,35000,145,1993,Honda,CR-V,Hibrid,4x4 (manual),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
36500,T8 Twin Engine AWD Momentum,7.0,36411,320,1969,Volvo,XC 60,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
36198,Pick-Up 3.2 Duratorq 200 CP 4x4 Cabina Dubla Wildtrack Aut.,5.0,89160,200,3198,Ford,Ranger,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Belgia,Second hand
31150,250 CDI DPF BlueEFFICIENCY 7G-TRONIC,12.0,133410,204,2143,Mercedes-Benz,S,Diesel,Spate,Euro 5,Automata,Sedan,Metalizata,Belgia,Second hand
7099,1.2 TSI DSG Highline,13.0,118000,105,1197,Volkswagen,Golf Plus,Benzina,Fata,Euro 5,Automata,Monovolum,Metalizata,Germania,Second hand
12500,2.0 TDCi 4WD Trend,7.0,233901,150,1997,Ford,Kuga,Diesel,4x4 (automat),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
17899,SW 2.0 BlueHDI FAP BVA Allure,8.0,153000,180,1997,Peugeot,508,Diesel,Fata,Euro 6,Automata,Combi,Metalizata,Germania,Second hand
20999,G194 AWD AT Takumi Plus,4.0,183660,194,2488,Mazda,CX-5,Benzina,4x4 (automat),Euro 6,Automata,SUV,Perlat,Romania,Second hand
22491,2.0 TDI ultra S tronic Design,4.0,50000,150,1968,Audi,A4,Diesel,Fata,Euro 6d-Temp,Automata,Sedan,Perlat,Romania,Second hand
4399,1.9 TDI Comfortline,16.0,285000,105,1896,Volkswagen,Jetta,Diesel,Fata,Euro 4,Manuala,Sedan,Metalizata,Finlanda,Second hand
10650,1.5 dCi 90 CP Laureate,7.0,109300,90,1461,Dacia,Dokker,Diesel,Fata,Euro 6,Manuala,Monovolum,Metalizata,Romania,Second hand
17790,1.5 TSI DSG Ambition,4.0,169000,150,1498,Skoda,Karoq,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
32599,xDrive20d Aut. M Sport Edition,5.0,195000,190,1995,BMW,X4,Diesel,4x4 (automat),Euro 6b,Automata,SUV,Perlat,Italia,Second hand
3750,1.2 TDI DPF Combi GreenLine,13.0,228000,75,1199,Skoda,Fabia,Diesel,Fata,Euro 5,Manuala,Combi,Metalizata,Olanda,Second hand
22989,Double Cab 2.4 DI-D M/T Instyle,5.0,153657,154,2442,Mitsubishi,L200,Diesel,4x4 (manual),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
20899,BlueHDi 180 Stop &amp; Start EAT6 GT,7.0,154150,180,1997,Peugeot,3008,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
8900,1.6 CDTI ECOTEC Dynamic,6.0,146629,110,1598,Opel,Astra,Diesel,Fata,Euro 6,Manuala,Sedan,Metalizata,Romania,Second hand
18900,1.0 EcoBoost ST-LINE,2.0,778,125,998,Ford,EcoSport,Benzina,Fata,Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
49899,50 TFSIe quattro S tronic,2.0,45000,266,1984,Audi,A7,Hibrid,4x4 (manual),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
69600,750d xDrive,4.0,96840,400,2993,BMW,Seria 7,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
41900,530e xDrive Aut. M Sport Edition,2.0,12150,184,1998,BMW,Seria 5,Hibrid,4x4 (automat),Euro 6d,Automata,Sedan,Metalizata,Germania,Second hand
24149,sDrive20i AT,5.0,43000,192,1998,BMW,X2,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Germania,Second hand
10700,V Blue dCi Life,4.0,91000,85,1461,Renault,Clio,Diesel,Fata,Euro 6d,Manuala,Masina de oras,Metalizata,Romania,Second hand
25239,1.0 EcoBoost MHEV Titanium,1.0,1,125,999,Ford,Focus,Benzina,Fata,Euro 6d-Temp,Automata,Compacta,Metalizata,Romania,Nou
46900,200 4Matic 9G-TRONIC AMG Line,2.0,21470,197,1991,Mercedes-Benz,GLC,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
25200,530d xDrive Aut.,8.0,76144,258,2993,BMW,Seria 5,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
24949,520i AT,6.0,120000,184,1998,BMW,Seria 5,Benzina,Spate,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
57980,xDrive30d,5.0,96000,265,2993,BMW,X5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
63590,750Ld xDrive,5.0,116500,400,2993,BMW,Seria 7,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Perlat,Romania,Second hand
8200,1.7 CRDI 2WD Attract,13.0,156000,115,1685,Kia,Sportage,Diesel,Fata,Euro 5,Manuala,SUV,Metalizata,Germania,Second hand
38300,xDrive20d AT M Sport,6.0,82580,190,1995,BMW,X3,Diesel,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Ungaria,Second hand
3390,2.0 TDCi Aut. Titanium X,17.0,187100,130,1997,Ford,Mondeo,Diesel,Fata,Euro 4,Automata,Combi,Metalizata,Austria,Second hand
74349,B5 MHEV AWD 7 locuri Momentum Pro,1.0,4500,235,1969,Volvo,XC 90,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
9590,MCV 1.5 dCi Stepway Prestige,6.0,162590,90,1461,Dacia,Logan,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
16200,2.0 TDI Ecomotive Style Plus,6.0,192000,150,1968,Seat,Alhambra,Diesel,Fata,Euro 6,Manuala,Monovolum,Metalizata,Italia,Second hand
18200,1.0 TSI DSG Style,3.0,54037,110,999,Volkswagen,T-Cross,Benzina,Fata,Euro 6d-Temp,Automata,Compacta,Metalizata,Spania,Second hand
32218,Sportback 40 TDI quattro S tronic design,4.0,124950,190,1968,Audi,A5,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
10750,Combi Diesel 1.6 TDI Ambition,6.0,187000,116,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Manuala,Combi,Mat,Romania,Second hand
28200,520i AT,5.0,91000,184,1998,BMW,Seria 5,Benzina,Spate,Euro 6,Automata,Combi,Metalizata,Germania,Second hand
20900,1.8 HSD TS Eco,5.0,101000,98,1798,Toyota,Corolla,Hibrid,Fata,Euro 6,Automata,Combi,Metalizata,Romania,Second hand
13288,SW BlueHDi 180 EAT6 Stop&amp;Start GT,8.0,149300,180,1997,Peugeot,508,Diesel,Fata,Euro 6,Automata,Combi,Metalizata,Franta,Second hand
49800,e-Skyactiv 3.3D AWD 8AT MHEV Homura,1.0,7119,254,3283,Mazda,CX-60,Diesel,4x4 (automat),Euro 6c,Automata,SUV,Perlat,Danemarca,Second hand
10990,1.0 TSI Comfortline,5.0,50000,110,999,Volkswagen,Golf,Benzina,Fata,Euro 6d-Temp,Manuala,Compacta,Perlat,Romania,Second hand
17599,Grand Sport 1.6 CDTI Start/Stop Aut. Innovation,5.0,78800,136,1598,Opel,Insignia,Diesel,Fata,Euro 6,Automata,Sedan,Metalizata,Franta,Second hand
8700,1.8 DI-D 2WD Instyle,12.0,176803,150,1798,Mitsubishi,ASX,Diesel,Fata,Euro 5,Manuala,SUV,Perlat,Germania,Second hand
22200,xDrive18d Aut. Sport Line,6.0,109500,150,1995,BMW,X1,Diesel,4x4 (automat),Euro 6c,Automata,SUV,Metalizata,Romania,Second hand
14690,Energy dCi 160 EDC Initiale Paris,7.0,221000,160,1598,Renault,Espace,Diesel,Fata,Euro 6,Automata,Monovolum,Metalizata,Belgia,Second hand
92190,xDrive30d AT MHEV,2.0,17900,286,2993,BMW,X6,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
3099,2.0 dCi FAP Initiale,16.0,310000,173,1995,Renault,Espace,Diesel,Fata,Euro 4,Manuala,Monovolum,Metalizata,Germania,Second hand
30490,xDrive20d AT Luxury Line,5.0,122018,190,1995,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
14750,2.0 TDCi Powershift Trend,6.0,64435,150,1997,Ford,Mondeo,Diesel,Fata,Euro 6,Automata,Sedan,Mat,Romania,Second hand
69972,M50i,4.0,90000,530,4395,BMW,X5 M,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
36771,xDrive30d Aut. M Sport,6.0,109444,286,2993,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
19990,CD175 4x4 Revolution Top,7.0,135000,175,2191,Mazda,CX-5,Diesel,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Italia,Second hand
13989,1.0 EcoBoost Trend,5.0,116630,125,999,Ford,Focus,Benzina,Fata,Euro 6,Automata,Compacta,Metalizata,Romania,Second hand
6090,116i Edition Sport,14.0,204505,122,1995,BMW,Seria 1,Benzina,Spate,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
5499,320d,18.0,179700,163,1995,BMW,Seria 3,Diesel,Spate,Euro 4,Manuala,Sedan,Metalizata,Belgia,Second hand
23000,220 d T-Modell Aut.,7.0,115000,194,1950,Mercedes-Benz,E,Diesel,Spate,Euro 6,Automata,Combi,Metalizata,Germania,Second hand
4990,ENERGY dCi 110 S&amp;S Bose Edition,12.0,198000,110,1461,Renault,Scenic,Diesel,Fata,Euro 5a,Manuala,Monovolum,Metalizata,Belgia,Second hand
15900,730Ld Aut.,12.0,210000,245,2993,BMW,Seria 7,Diesel,Spate,Euro 5,Automata,Sedan,Metalizata,Belgia,Second hand
9190,1.8 TFSI Avant,11.0,231309,120,1798,Audi,A4,Benzina,Fata,Euro 5,Manuala,Combi,Metalizata,Romania,Second hand
19391,1.8 HSD Dynamic,5.0,57217,98,1798,Toyota,Corolla,Hibrid,Fata,Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
13289,1.5 DCI EDC Intens,6.0,173900,110,1461,Renault,Kadjar,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Italia,Second hand
6590,Sport Tourer 1.5 dCi GT Line,12.0,260000,110,1461,Renault,Megane,Diesel,Fata,Euro 5,Manuala,Combi,Metalizata,Olanda,Second hand
11290,1.0 TSI Style,5.0,140913,115,999,Skoda,Scala,Benzina,Fata,Euro 6,Manuala,Compacta,Metalizata,Romania,Second hand
5489,Blue-HDi 100 Stop&amp;Start Active,9.0,233382,99,1560,Peugeot,208,Diesel,Fata,Euro 5,Manuala,Masina de oras,Metalizata,Germania,Second hand
17838,180 d 7G-DCT,7.0,156600,116,1461,Mercedes-Benz,A,Diesel,Fata,Euro 6,Automata,Masina mica,Metalizata,Belgia,Second hand
29951,D5 AWD Inscription,5.0,90914,235,1969,Volvo,S90,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
12690,1.6 TDI Trendline,5.0,120399,115,1598,Volkswagen,Golf,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
11598,Tourer 1.6 CDTI ECOTEC Start/Stop Innovation,6.0,82500,120,1598,Opel,Zafira,Diesel,Fata,Euro 6,Manuala,Monovolum,Metalizata,Romania,Second hand
16650,2.0 TDI Quattro Stronic,11.0,177947,177,1968,Audi,Q5,Diesel,4x4 (automat),Euro 5,Automata,SUV,Metalizata,Germania,Second hand
10990,1.6 TDI Style,6.0,180600,115,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
39999,xDrive25d Aut. M Sport,5.0,187577,231,1995,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
5890,sDrive18d,13.0,344800,143,1995,BMW,X1,Diesel,Spate,Euro 5,Manuala,SUV,Metalizata,Belgia,Second hand
6290,116i Edition Sport,14.0,204505,122,1995,BMW,Seria 1,Benzina,Spate,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
85680,xDrive40d AT MHEV,1.0,8900,340,2993,BMW,X6,Diesel,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Germania,Second hand
29988,2.0 TDI 4x4 DSG Sportline,4.0,130000,150,1968,Skoda,Kodiaq,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
40989,320i Aut. M Sport,2.0,12000,184,1998,BMW,Seria 3,Benzina,Spate,Euro 6d-Temp,Automata,Sedan,Metalizata,Germania,Second hand
84790,R-Dynamic 2.0 D200 MHEV SE,1.0,1,204,1997,Land Rover,Range Rover Velar,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Regatul Unit,Nou
20900,2.0 CRDI 4WD 6AT Premium+,7.0,136400,185,1995,Hyundai,Tucson,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
32963,2.0 Panther A8 AWD Vignale,5.0,107000,238,1996,Ford,Edge,Diesel,4x4 (automat),Euro 6,Automata,SUV,Perlat,Germania,Second hand
10190,525d,14.0,236800,204,2993,BMW,Seria 5,Diesel,Spate,Euro 5,Manuala,Sedan,Metalizata,Franta,Second hand
23500,1.2 L PureTech STT EAT8 GT,2.0,2087,100,1199,Peugeot,208,Benzina,Fata,Euro 6,Automata,Masina de oras,Perlat,Romania,Second hand
6600,Style,17.0,137000,86,1328,Suzuki,Jimny,Benzina,4x4 (manual),Euro 4,Manuala,SUV,Metalizata,Germania,Second hand
97500,S,3.0,26939,440,2894,Porsche,Cayenne,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
7498,1.6 16V 105 4x2 Laureate,10.0,195000,105,1598,Dacia,Duster,Benzina,Fata,Euro 5,Manuala,SUV,Metalizata,Germania,Second hand
13299,2.0 TDCi 4x4 Aut. Individual,10.0,120000,140,1997,Ford,Kuga,Diesel,4x4 (automat),Euro 5,Automata,SUV,Metalizata,Germania,Second hand
9500,xDrive30d,17.0,300000,235,2993,BMW,X5,Diesel,4x4 (automat),Euro 4,Automata,SUV,Metalizata,Spania,Second hand
17800,Sedan 1.5 VTEC Turbo CVT Elegance Navi,6.0,77784,182,1498,Honda,Civic,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
6290,1.6 TDI DPF DSG Ambiente,13.0,186878,105,1598,Skoda,Octavia,Diesel,Fata,Euro 5,Automata,Combi,Metalizata,Germania,Second hand
17290,2.2 CRDi 4WD Automatik Premium,7.0,231205,200,2199,Hyundai,Santa Fe,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
21600,250 BlueTec 4M,9.0,173000,204,2143,Mercedes-Benz,C,Diesel,4x4 (automat),Euro 5,Automata,Sedan,Metalizata,Romania,Second hand
26418,200 d 9G-TRONIC,6.0,95000,150,1950,Mercedes-Benz,C,Diesel,Spate,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
29200,2.0 TDI 4Mot DSG Highline,5.0,96735,190,1968,Volkswagen,Tiguan,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
40648,xDrive20d Aut. M Sport,6.0,112002,190,1995,BMW,X4,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
5190,dCi 175 FAP Aut.,13.0,284000,173,1995,Renault,Latitude,Diesel,Fata,Euro 5,Automata,Sedan,Metalizata,Austria,Second hand
13990,2.0 TDI BlueMotion Technology DSG,12.0,160783,177,1968,Volkswagen,Passat CC,Diesel,Fata,Euro 5,Automata,Sedan,Metalizata,Germania,Second hand
28088,D4 AWD Momentum Pro,5.0,108464,190,1969,Volvo,XC 60,Diesel,4x4 (automat),Euro 6,Manuala,SUV,Metalizata,Germania,Second hand
12499,1.6 GDi 2WD Comfort,9.0,107000,135,1591,Hyundai,ix35,Benzina,Fata,Euro 5,Manuala,SUV,Metalizata,Germania,Second hand
9199,xDrive20d,12.0,280000,184,1995,BMW,X1,Diesel,4x4 (automat),Euro 5,Manuala,SUV,Metalizata,Romania,Second hand
